板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
机器人,-4.9,4,0,11,28,机器人,李强在北京调研,李强在北京调研 中共中央政治局常委、国务院总理李强5月18日在北京调研。他强调，要深入贯彻落实习近平总书记关于发展新质生产力、建设现代化产业体系的重要论述和指示精神，推动人工智能与先进制造业深度融合，坚持创新发展，突出应用导向，积极促进智能
汽车,-4.9,4,0,11,28,汽车,李强在北京调研,李强在北京调研 中共中央政治局常委、国务院总理李强5月18日在北京调研。他强调，要深入贯彻落实习近平总书记关于发展新质生产力、建设现代化产业体系的重要论述和指示精神，推动人工智能与先进制造业深度融合，坚持创新发展，突出应用导向，积极促进智能
综合,-4.9,4,0,11,28,综合,李强在北京调研,李强在北京调研 中共中央政治局常委、国务院总理李强5月18日在北京调研。他强调，要深入贯彻落实习近平总书记关于发展新质生产力、建设现代化产业体系的重要论述和指示精神，推动人工智能与先进制造业深度融合，坚持创新发展，突出应用导向，积极促进智能
教育,-3.7,0,0,3,14,教育,赵乐际同格鲁吉亚议长会谈,赵乐际同格鲁吉亚议长会谈 全国人大常委会委员长赵乐际18日在北京人民大会堂同格鲁吉亚议长帕普阿什维利举行会谈。赵乐际表示，在习近平主席和贵国领导人战略引领下，中格建立战略伙伴关系，双边关系驶入高质量、全方位发展快车道。中方愿同格方一道，落实
电力,-10.1,1,2,19,17,电力,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
综合,-10.1,1,2,19,17,综合,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展,丁薛祥在调研算力网建设时强调 加快构建全国一体化算力网 赋能经济社会高质量发展 近日，中共中央政治局常委、国务院副总理丁薛祥先后在北京、河北、内蒙古调研算力网建设。他强调，要深入贯彻落实习近平总书记重要指示精神，按照“十五五”规划纲要部署，
教育,-3.5,0,0,3,13,教育,中共中央办公厅印发《中国共产党发展党员工作细则》,中共中央办公厅印发《中国共产党发展党员工作细则》 近日，中共中央办公厅印发了《中国共产党发展党员工作细则》，并发出通知，要求各地区各部门认真遵照执行。通知指出，发展党员工作是党的建设一项重要的基础性工程。各级党委及其组织部门要深入贯彻新时代
电子,0.0,0,0,0,0,电子,国际联播快讯,国际联播快讯 以计划在原联合国机构处建“国防设施”以色列政府17日批准一项计划，将在位于东耶路撒冷的原联合国近东巴勒斯坦难民救济和工程处办公地上修建一处国防综合设施。巴勒斯坦伊斯兰抵抗运动（哈马斯）当天对此予以强烈谴责，并表示此举违反国际法
综合,0.0,0,0,0,0,综合,国际联播快讯,国际联播快讯 以计划在原联合国机构处建“国防设施”以色列政府17日批准一项计划，将在位于东耶路撒冷的原联合国近东巴勒斯坦难民救济和工程处办公地上修建一处国防综合设施。巴勒斯坦伊斯兰抵抗运动（哈马斯）当天对此予以强烈谴责，并表示此举违反国际法
燃料电池,1.5,2,0,1,1,燃料电池,【风口研报·洞察】AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，国内相关设备及零部件厂商有望受益；科技行情是否结束,【风口研报·洞察】AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，国内相关设备及零部件厂商有望受益；科技行情是否结束 ①科技行情是否结束；②AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，
电池,1.5,2,0,1,1,电池,【风口研报·洞察】AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，国内相关设备及零部件厂商有望受益；科技行情是否结束,【风口研报·洞察】AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，国内相关设备及零部件厂商有望受益；科技行情是否结束 ①科技行情是否结束；②AIDC燃气发电产能趋于饱和，SOFC（燃料电池）发电规模化应用有望加速，
汽车,0.0,0,0,0,0,汽车,nan,财联社5月18日电，美国众议院议员提议每年征收130美元的电动汽车费用，以帮助支付道路维修费用。
铜,-0.2,0,0,0,1,铜,【公告全知道】光通信+PCB+机器人+液冷+铜缆+数据中心！公司与光模块配套使用的224G产品已批量出货,【公告全知道】光通信+PCB+机器人+液冷+铜缆+数据中心！公司与光模块配套使用的224G产品已批量出货 ①光通信+PCB+机器人+液冷+铜缆+数据中心！这家公司与光模块配套使用的224G产品已批量出货且液冷产品进入英伟达等全球顶级AI算力
