板块,舆论分,正向词命中,负向词命中,中性词命中,宏观词命中,命中关键词,标题,新闻片段
机器人,-3.4,4,0,14,16,机器人,【新思想引领新征程】绘就乡村全面振兴新画卷,【新思想引领新征程】绘就乡村全面振兴新画卷 习近平总书记强调，要锚定农业农村现代化，扎实推进乡村全面振兴，推动城乡融合发展。今年是“十五五”开局之年，各地坚持把解决好“三农”问题作为重中之重，努力把农业建成现代化大产业，使农村基本具备现代生
跨境出海,0.9,4,0,3,11,出海,【“十五五”新图景】一路通达 串起经济版图新廊道,【“十五五”新图景】一路通达 串起经济版图新廊道 “十五五”开局之年，锚定强国建设、民族复兴目标的宏伟蓝图正在神州大地徐徐铺展。从今天（3月29日）起，本台推出系列报道《“十五五”新图景》。首先，我们把目光投向跨区域、跨流域大通道建设。眼下
人工智能,5.4,7,0,0,8,人工智能,今年前两个月我国电子商务稳定发展,今年前两个月我国电子商务稳定发展 记者从商务部了解到，今年前两个月，我国电子商务稳定发展，数字消费、产业电商成为增长主动力。数字消费持续活跃，提振消费系列政策在电子商务领域落地显效。1—2月，全国网上商品和服务零售额增长9.2%。商务大数据
机器人,5.4,7,0,0,8,机器人,今年前两个月我国电子商务稳定发展,今年前两个月我国电子商务稳定发展 记者从商务部了解到，今年前两个月，我国电子商务稳定发展，数字消费、产业电商成为增长主动力。数字消费持续活跃，提振消费系列政策在电子商务领域落地显效。1—2月，全国网上商品和服务零售额增长9.2%。商务大数据
数字经济,5.4,7,0,0,8,云计算,今年前两个月我国电子商务稳定发展,今年前两个月我国电子商务稳定发展 记者从商务部了解到，今年前两个月，我国电子商务稳定发展，数字消费、产业电商成为增长主动力。数字消费持续活跃，提振消费系列政策在电子商务领域落地显效。1—2月，全国网上商品和服务零售额增长9.2%。商务大数据
半导体,-1.3,0,0,3,2,芯片,2026中关村论坛年会今天闭幕,2026中关村论坛年会今天闭幕 为期五天的2026中关村论坛年会今天（3月29日）闭幕并举行重大成果专场发布会。高能同步辐射光源建成试运行，全球首款亚埃米级光谱成像芯片“玉衡”、通智大脑等21项具有国际影响力的重大科技成果集中亮相。本届论坛
低空经济,-1.0,4,0,6,16,通航,国内联播快讯,国内联播快讯 四部门部署开展“追寻·2026·清明祭英烈”活动退役军人事务部、中央网信办、共青团中央、全国少工委四部门日前联合部署开展“追寻·2026·清明祭英烈”活动，通过线上线下相结合方式，组织纪念祭扫英烈、关爱帮扶烈属、共青团少先队教
低空经济,-0.3,0,0,1,0,无人机,美以空袭伊朗武器生产设施和临时指挥中心 伊朗称打击美以军工目标及相关工业设施,美以空袭伊朗武器生产设施和临时指挥中心 伊朗称打击美以军工目标及相关工业设施 今天（3月29日），美国和以色列对伊朗的军事打击进入第30天。28日到今天，伊朗首都德黑兰遭多轮空袭。以色列国防军今天称，以军对德黑兰核心区域的基础设施进行了大规
军工,-0.3,0,0,1,0,军工|国防|导弹,美以空袭伊朗武器生产设施和临时指挥中心 伊朗称打击美以军工目标及相关工业设施,美以空袭伊朗武器生产设施和临时指挥中心 伊朗称打击美以军工目标及相关工业设施 今天（3月29日），美国和以色列对伊朗的军事打击进入第30天。28日到今天，伊朗首都德黑兰遭多轮空袭。以色列国防军今天称，以军对德黑兰核心区域的基础设施进行了大规
军工,-1.5,0,1,1,1,国防,以军袭击导致黎巴嫩47人死亡 包括多名记者和救援人员,以军袭击导致黎巴嫩47人死亡 包括多名记者和救援人员 以色列国防军28日称，以军当天对黎巴嫩多地的黎真主党武装目标进行了数十次空袭，打死该组织下属的拉德万部队一名成员。以军称，目前以军有4个师在黎南部展开地面行动。黎真主党武装当天称，在黎东
