title,content,source,pub_time
山东赫达：澄清实控人减持、质押及美国工厂等不实传闻,【山东赫达：澄清实控人减持、质押及美国工厂等不实传闻】财联社5月13日电，山东赫达(002810.SZ)公告称，公司关注到网络平台有关公司的不实传闻，包括实控人毕于成家族紧急减持、股权质押爆仓、资产注入终止、董事长被调查及美国工厂出问题等。经核实，公司实际控制人毕心德及其一致行动人毕于东、毕文娟合计持股39.75%，自上市以来除2021年、2019-2020年减持外无其他减持，目前无减持计划；其股票质押已于2023年6月全部解除，目前无质押；未披露或实施个人资产注入计划。截至本公告披露日，公司董事长毕于东正常履职，近期不存在接受行政机关或司法机关等公权力机关的调查、谈话或被要求协助调查、被采取留置等强制措施的异常情形。美国工厂项目正常推进，预计2026年投产。公司经营正常，无应披露未披露重大事项。,cls,20:41:43
,财联社5月13日电，沙特阿拉伯向欧佩克报告称，其原油产量上个月进一步崩溃，降至自1990年以来的最低水平。,cls,20:43:17
美股盘前要闻一览：美参议院拟启动沃什担任美联储主席的确认程序；谷歌欲借助SpaceX将数据中心送入太空；算力租赁商Nebius一季度营收暴增近700%,"【美股盘前要闻一览：美参议院拟启动沃什担任美联储主席的确认程序；谷歌欲借助SpaceX将数据中心送入太空；算力租赁商Nebius一季度营收暴增近700%】财联社5月13日电，投资者需重点关注的美股市场财经要闻如下：
1、美国三大股指期货涨跌不一。道琼斯指数期货跌0.53%，标普500指数期货跌0.08%，纳斯达克100指数期货涨0.20%。
2、国际油价小幅上涨。WTI原油期货价格涨0.42%，报102.608美元/桶；布伦特原油期货价格涨0.24%，报108.025美元/桶。
3、国际金银期货日内涨幅收窄。COMEX黄金期货涨0.04%，报4688.8美元/盎司，COMEX白银期货涨1.87%，报87.195美元/盎司。
4、欧洲主要股指涨跌互现。英国富时100指数跌0.19%，法国CAC40指数跌0.55%，德国DAX30指数涨0.26%。
5、美参议院确认凯文·沃什出任美联储理事，任期14年。同时预计将立即启动其兼任美联储主席的确认程序，最快可能于5月13日完成。
6、SpaceX正与谷歌就火箭发射协议进行谈判。谷歌据悉希望借助SpaceX的发射能力，将其正在研发的轨道数据中心送入太空。
7、云计算服务提供商Nebius美股盘前拉升，涨超16%。公司第一季度营收3.99亿美元，同比暴增684%，并将2026年资本支出指引上调至200亿-250亿美元之间。
8、杰夫·贝索斯旗下火箭公司蓝色起源正考虑首次引入外部投资。蓝色起源CEO表示，公司需要大量资本来大幅提高火箭发射频率。
9、谷歌正抢先布局移动端AI，旗下AI模型Gemini将植入Android系统。
10、美银将2030年全球AI数据中心系统总可触达市场（TAM）预测从先前的约1.4万亿美元上调至约1.7万亿美元。",cls,20:44:10
4天2板仁智股份：实控人筹划控制权变更事项 股票停牌,【4天2板仁智股份：实控人筹划控制权变更事项 股票停牌】财联社5月13日电，仁智股份(002629.SZ)公告称，公司收到控股股东、实际控制人陈泽虹通知，其正在筹划公司控制权变更相关事宜，可能导致公司控股股东、实际控制人发生变更。公司股票自2026年5月14日开市起停牌，预计停牌时间不超过2个交易日。本次控制权变更拟转让的股权比例为总股本的19.51%。,cls,20:45:21
阿里吴泳铭：未来AI基建的投入资金会远远超过3800亿元,【阿里吴泳铭：未来AI基建的投入资金会远远超过3800亿元】《科创板日报》13日讯，在2026财年Q4财报分析师电话会上，阿里CEO吴泳铭表示，面向未来五年目标，未来的AI基建相关投入资金会远远超过3800亿。未来可能也会以销售平头哥AI服务器的方式，与数据中心服务方合作方共建数据中心。（记者 黄心怡）,cls,20:46:09
【电报解读】NAND芯片合同价8个月涨幅超600%，业内大厂预计存储芯片短缺将至少持续到2030年，这家公司在多个相关测试环节拥有全栈测试开发能力,NAND芯片合同价8个月涨幅超600%，业内大厂预计存储芯片短缺将至少持续到2030年，这家公司在多个相关测试环节拥有全栈测试开发能力，另一家在多个等领域实现了全品类的产品覆盖。,cls,20:53:23
华电辽能：股票交易异常波动 市盈率远高于行业平均水平,【华电辽能：股票交易异常波动 市盈率远高于行业平均水平】财联社5月13日电，华电辽能(600396.SH)公告称，公司股票于2026年5月11日、12日连续两个交易日收盘价格涨幅偏离值累计达20%，属异常波动。5月13日再次涨停，4月27日至5月13日连续10个交易日累计涨幅达80%，严重偏离大盘和行业。公司最新滚动市盈率601.43倍，远高于行业54.91倍；最新市净率15.89倍，高于行业3.04倍。公司主营火力发电，经营未发生重大变化，不涉及算电协同项目。控股子公司氢能项目规模较小，2026年第一季度氢能营收126.48万元，对财务数据无重大影响。公司及控股股东不存在筹划重大资产重组等事项。,cls,20:55:57
中钨高新：目前金洲公司PCB钻针订单饱满 市场需求旺盛,【中钨高新：目前金洲公司PCB钻针订单饱满 市场需求旺盛】财联社5月13日电，中钨高新(000657.SZ)发布投资者关系活动记录表公告，目前金洲公司PCB钻针订单饱满，市场需求旺盛，随着高端产品占比持续提升，产品附加值不断优化。产能方面，随着1.4亿支微钻扩产项目已于2026年3月达产，1.3亿支微钻和0.63亿支超长径精密微型刀具扩产项目正在推进，公司产能持续增长，能够较好地满足当前市场需求。同时，公司将根据下游订单动态调节产能安排，确保供给与需求匹配。,cls,20:57:16
,财联社5月13日电，英国首相发言人WELLS表示，首相斯塔默“对他的内阁充满信心”，斯塔默专注于政府的立法方案。,cls,20:57:19
,财联社5月13日电，亚马逊推出了一款名为Alexa的AI助手，用于美国的购物服务。,cls,20:59:47
