title,content,source,pub_time
康众医疗：拟现金收购AI医疗公司脉得智能控制权,【康众医疗：拟现金收购AI医疗公司脉得智能控制权】《科创板日报》14日讯，康众医疗(688607.SH)公告称，公司调整前次对外投资方案，拟以现金方式收购脉得智能科技(无锡)有限公司控制权。经协商，标的公司整体估值为7.5亿元。若成功受让国有股东梁溪创投所持股权，公司将持有标的公司51%股权；若未能受让，则通过受让其他股东股权，最终持有50.7355%股权。交易资金来源为自有资金及银行贷款。标的公司是一家专注于人工智能医学大数据算法研发与转化的高新技术企业，核心业务涵盖基于超声影像的多病种AI实时辅助诊断系统和基于基因组学的AI生信分析平台。,cls,21:13:20
,财联社4月14日电，现货钯金日内下跌2%，现报1547.13美元/盎司。,cls,21:13:43
杭可科技：拟1.79亿元增资杭可仪器获51%股权,【杭可科技：拟1.79亿元增资杭可仪器获51%股权】《科创板日报》14日讯，杭可科技(688006.SH)公告称，公司拟以自有资金1.79亿元向浙江杭可仪器有限公司增资。本次交易构成关联交易，不构成重大资产重组。增资完成后，公司将持有杭可仪器51%股权，将其纳入合并报表范围。杭可仪器主要产品为半导体可靠性试验设备，覆盖从晶圆级、芯片级到模块级的全产业链可靠性测试需求。,cls,21:14:22
,财联社4月14日电，美财长贝森特表示，美国今年在G-20会议的议程是促增长，全球失衡加剧是最大风险。,cls,21:14:58
五一假期国际航班遭大规模取消？专家：燃油成本大涨为主因 国际低成本航司压力更大,【五一假期国际航班遭大规模取消？专家：燃油成本大涨为主因 国际低成本航司压力更大】财联社4月14日电，多位网友在社交平台上发文称，五一假期期间以及假期前后飞往东南亚以及大洋洲的航班被取消。民航专家林智杰表示，近期国际航线，尤其是往返东南亚、澳洲等区域的航班出现大规模取消，核心原因在于航空燃油成本大幅攀升。当前航空燃油价格较此前已出现翻倍上涨，而国际机票票价并未同步大幅上调，航司执飞相关航线陷入“执飞班次越多、亏损幅度越大”的经营困境。 (澎湃新闻),cls,21:16:23
,财联社4月14日电，Meta高管表示，公司计算部门正审慎评估未来几年近6000亿美元的投资部署。,cls,21:19:46
【财联社早知道】重大突破！我国最大规模科学智能计算集群投入使用，机构称AI应用持续发展正推动算力需求维持高位，这家公司子公司运营着全国最大C端AI算力云平台,"①重大突破！我国最大规模科学智能计算集群投入使用，机构称AI应用持续发展正推动算力需求维持高位，这家公司子公司运营着全国最大C端AI算力云平台；
②国办发布健全药品价格形成机制的若干意见，机构预计2026年中国创新药市场规模将超1.3万亿元，这家公司拥有全方位的创新药一站式定制服务平台；
③这家公司截至目前算力业务规模已超过4000P，年合同额超过1亿元。",cls,21:24:04
百济神州：2025年度净利润14.61亿元 同比扭亏为盈,【百济神州：2025年度净利润14.61亿元 同比扭亏为盈】《科创板日报》14日讯，百济神州(688235.SH)公告称，公司发布2025年年度报告，实现营业收入382.25亿元，同比增长40.46%；归属于上市公司股东的净利润为14.61亿元，较2024年净亏损49.78亿元实现扭亏为盈。公司2025年度利润分配预案为：不进行利润分配，亦不进行资本公积转增股本。小财注：公司Q4净利润3.22亿，Q3净利润6.89亿，据此计算，Q4净利润环比下降53%。,cls,21:30:25
美股三大指数小幅高开,【美股三大指数小幅高开】财联社4月14日电，美股三大指数小幅高开，道指涨0.1%，纳指涨0.71%，标普500指数涨0.32%。GoPro大涨超19%；美国航空涨超7%，美联航CEO考虑与美国航空公司合并；云计算服务商板块上涨，甲骨文涨超7%，Coreweave涨超3%。Globalstar涨超8%，亚马逊据悉将以每股90美元收购该公司。,cls,21:30:50
利弗莫尔中概股龙头指数盘初涨1%,【利弗莫尔中概股龙头指数盘初涨1%】财联社4月14日电，利弗莫尔中概股龙头指数盘初涨幅扩大至1%，报9648.25点。成分股中，金山云涨4.54%，小马智行涨4.53%，京东涨3.33%，世纪互联涨3.07%，奇景光电涨2.92%。,cls,21:31:37
